你是谁啊？	我是你爸爸
你叫什么名字	杰克
多大了	22
海的女儿是哪个城市的城徽	哥本哈根
阿尔及利亚首都是哪个城市 	阿尔及尔
第一台电子计算机在哪里诞生	美国
第一次登上月球的是哪国人	美国
2008年奥运会将在哪个城市举行	北京
佛教起源于哪个国家	印度
滑铁卢战役发生在哪个国家	比利时	
巴西的首都是哪座城市	巴西利亚	
黄梅戏是哪个省的地方戏	安徽	
美国的自由女神坐落在哪个城市	纽约	
青海省主办的自行车赛在哪个湖附近举行	青海湖	
发射第一颗人造卫星的是哪个国家	苏联	
格林尼威天文台位于哪个城市	伦敦	
玛祖卡舞起源于哪个国家	波兰	
郁金香是哪个国家的象征	荷兰	
奔驰汽车原产于哪一个国家	德国	
第一届世界杯足球赛在哪个国家举行	乌拉圭	
工业革命发生在哪个国家	英国	
被称为瓷都的是我国哪一城市	景德镇	
殷墟在中国的哪个古城	安阳	
德国最大的城市是哪	柏林	
美国最大的城市是哪个	纽约州	
美国最古老的国家公园是哪个	黄石	
埃塞俄比亚的首都是哪里	亚的斯亚贝巴	
澳大利亚首都是哪个城市	堪培拉	
澳大利亚最大的城市是什么	悉尼	
刚果首都是哪里	布拉柴维尔	
世界上火山最多的洲是哪个洲	亚洲	
美国的首都在哪里	华盛顿	
2000年奥运会上获金牌最多的国家是哪个	美国	
春城是指我国哪一城市	昆明	
阿拉伯世界唯一的岛屿是什么	巴林国	
欧洲最大的岛屿是什么	大不列颠	
世界上最大的沙漠在哪	撒哈拉沙漠	
世界上人口最多的岛屿是什么	爪哇岛	
世界上最大半岛是哪个	阿拉伯半岛	
世界上面积最大的淡水湖是哪个	苏必利尔湖	
世界上面积最大的湖是哪一个	里海	
黑龙江的省会是哪个城市	哈尔滨	
江西省的省会是哪个城市	南昌	
卢浮宫在哪座城市	巴黎	
哪个城市被称为国际会议之都	日内瓦	
世界上最深的湖泊是什么	贝加尔湖	
苏格兰属于哪个洲	欧洲	
世界上最大的岛屿叫什么	格陵兰岛	
阿尔卑斯山脉的最高峰是什么	勃朗峰	
非洲最高峰是什么	乞力马扎罗山	
世界上最长的山脉是哪个	安第斯山脉	
世界上最高的山峰叫什么	喜马拉雅山脉	
哪个城市的电话区号是010	北京	
哪座城市是乌干达的首都	坎帕拉	
大本钟在哪里	英国	
阿斯旺大坝是哪个国家的	埃及	
中国面积最大的省份是哪一个	新疆	
冰城是我国的哪一座城市	哈尔滨	
世界上流经国家最多的河流是哪个	多瑙河	
世界上流经国家最多的河是哪一条	多瑙河	
世界上最长的河流是什么	尼罗河	
中国最长的运河是哪一条	京杭	
故宫位于哪里	北京市	
龙门石窟在哪个省	河南	
鲁是我国哪个省份的简称	山东	
尼亚加拉瀑布在加拿大的哪个省	安大略省	
白求恩来自于哪个国家	加拿大	
白求恩是哪国人	加拿大	
安南是哪个国家的人	加纳	
